id,0,1,2,3
0.0,132706.06662202725,12312.404271473604,38025.98034928266,22393.51580505373
1.0,281164.9367094753,40322.262355490326,62225.66077073046,88650.9762026619
2.0,497353.0928035618,149592.02387075988,55429.46558128807,160667.35384602268
3.0,6157620.686461415,1418783.0134156472,4612497.986011908,4551788.025783706
4.0,1439798.3022187497,352294.0032800712,1806847.6998451692,1158023.6692634749
5.0,1.486066799163565E7,5875680.352716788,3695152.2429191126,5833735.76376111
6.0,5.773388513096618E7,1.1228595385744344E7,1.1560032222018989E7,1.1882507671337666E7
7.0,3.161062300106924E7,3167311.3957877355,4356854.202863086,2220287.228698101
8.0,1.607038390747419E7,5858079.149601623,1.6011739755896457E7,1.7838504073926788E7
9.0,2.1989166558745265E7,7713729.865123225,2.7558896552490484E7,3.629787235334306E7
10.0,4004401.9327228623,1004176.1782877307,997448.2083154119,890838.4195417516
11.0,127671.53736973183,2496.1599971098053,97.08048248291016,
12.0,2.4085655564020727E7,1.2811490378111314E7,4873485.201315757,1.0590133439068604E7
13.0,6.793278138754219E7,9733596.689520922,1.0925930082586642E7,6734672.536251592
14.0,5.440478808412109E7,3932945.7097116816,9820914.920096483,3878749.6782984124
15.0,1.7248050696469985E7,6555404.988088184,7847421.867325429,1.236784441865532E7
16.0,2.479762354666606E7,1.1545353025015501E7,1.691308022427349E7,3.182233929569502E7
17.0,2.15026226851345E7,1.0072485996301005E7,9179332.104243653,2.092393366853425E7
18.0,2539701.8905533124,497589.84496172727,628629.0005011164,1053944.2122365017
19.0,93327.92223235482,29186.068646060714,72243.99843232393,343472.4610915829
20.0,2.5103206273554258E7,1.4561600160956444E7,5972773.174685855,2.3250171327995017E7
21.0,5.334815925657327E7,1.6305919770697683E7,1.004172351536704E7,1.568405035926333E7
22.0,4.822519034612833E7,1.163372378505379E7,1.231099459734918E7,1.2729613664898079E7
23.0,1.5844452387312526E7,8097839.203673362,5896170.277592387,1.4269027009513576E7
24.0,1.971504457826411E7,1.3796930799640683E7,1.5659064698513772E7,3.9571766972782016E7
25.0,2.2482057007925548E7,1.2555695336677264E7,8810442.495964091,2.2123286175400663E7
26.0,4624354.702973668,167580.60699465882,29560.7316421808,142562.4903787052
27.0,1083184.2980336507,378072.63241912244,1288486.7661280911,6134925.849506004
28.0,9909615.038543517,5097821.632757718,1.1247943481127812E7,3.942024535293912E7
29.0,2.6869016562228214E7,1.2555875789760001E7,1.8188739845146947E7,3.9656336271376565E7
30.0,4.3266007549799494E7,8564493.168172883,1.2333462539545082E7,2.0990823637603894E7
31.0,1.1183615547945773E7,7075191.514202695,3850375.747191333,1.4394370914528528E7
32.0,1.053277970548921E7,1.125300584060806E7,7225972.340028314,4.8509859030072294E7
33.0,2.496249288598349E7,2.3678095436240602E7,1.0664286669929888E7,3.635811673371036E7
34.0,6696699.934408098,824998.3758593395,519797.689666,1341525.4708446735
35.0,2686332.146873025,1661894.055980727,1947382.174978907,1.1634412132137462E7
36.0,2.2008540953765765E7,1.1512681214982845E7,1.1408506833727427E7,4.931275271512809E7
37.0,2.8226181505892616E7,9595748.912091091,1.1110829075053068E7,4.3518154448490396E7
38.0,9464302.516919952,6808983.303996868,4440941.712290533,3.1380738468432873E7
39.0,1.1651280468348177E7,1.1865083088321215E7,7830708.758362532,4.650532931701593E7
40.0,2.1087235161092684E7,1.5556451209981365E7,1.340878862722196E7,5.5960932424612924E7
41.0,1.9815459647057343E7,3660483.0531292465,3124201.833120844,8990765.212377623
42.0,9461281.439609485,23264.429885864258,6979.210739135742,3586.611640930176
43.0,2677539.650503897,724642.6779752842,1338644.9940992475,6101760.8649123525
44.0,1.3994964121804029E7,1.2729634729275625E7,1.1669218193025365E7,4.612082154791666E7
45.0,2.5569501002568536E7,1.670627669806251E7,1.3549516875595586E7,3.916421881745974E7
46.0,1.8055253368689246E7,1.0970306872127594E7,7765433.6317508565,2.3909645565136313E7
47.0,1.0841054102494571E7,9244613.364669709,6955469.971876737,2.904251242928802E7
48.0,1.5665718726337614E7,5151380.8311989885,8946767.034499884,4.142031391973888E7
49.0,3.559498591401737E7,483596.1771265069,1716199.7929403866,3690873.5394458
50.0,5574348.335539846,8573.99289305444,8043.668212890625,4577.793966046502
51.0,3416674.7265087813,1347734.5631819207,1736962.7206695015,8912836.379203014
52.0,2.4609409165583383E7,2586691.201694259,6574967.947167985,1.553987433937501E7
53.0,3.263021551550895E7,3336889.0615170905,7061286.035230171,2.6585847884184726E7
54.0,2.0562115207291234E7,6940500.671035996,8427637.047719823,4.712664644843664E7
55.0,1.6232839267289024E7,1.1900013114814654E7,9810595.12774911,6.290390565235587E7
56.0,1.7112053667818543E7,9263758.511939183,7587732.367678409,3.529977281740695E7
57.0,1.1276863824720746E7,1.0210920491971845E7,2764658.217177389,9766502.635179043
58.0,2.9808921163878005E7,1331815.1641120792,107647.82046203614,396805.09695850447
59.0,2.9920134796572283E7,50107.41674164416,39426.4630279541,14142.445350646973
60.0,307616.816742871,,96.88810729980469,
61.0,3890524.6938725454,416853.95432039176,1960605.06821624,1325716.2159836702
62.0,3.915883871304685E7,6101666.300113002,1.1054385543881241E7,3.9536390070268475E7
63.0,5.774153395849926E7,5061999.322987544,1.0855863241622953E7,2.511780483143826E7
64.0,3.2403866128686376E7,4348355.621473335,8538265.763574418,3.2756691746116273E7
65.0,2.9985043887540963E7,4490328.619476497,6078494.809228634,3.950474735933645E7
66.0,2.0019728518162407E7,6852999.92609902,7831015.370188633,5.5132342865214676E7
67.0,2.2675089888360094E7,8700573.647829914,6444678.528080029,4.467296944975143E7
68.0,1.9348298542457767E7,1.3787554169817168E7,5945024.78833959,2.8757103624509558E7
69.0,1.1540463366135038E7,7060542.450332595,2538471.4559023394,7284514.102957197
70.0,2.9210454077532876E7,362193.20135225786,22024.302222816616,33700.56984710693
71.0,716140.3576358273,21416.97868311265,205159.7594232896,66130.31601957433
72.0,5.125525240804867E7,2885222.1131610656,1.0769672583540747E7,1.7811400490666572E7
73.0,4.964566160117876E7,4689413.287120138,1.1813565732788095E7,3.565000212441442E7
74.0,4.667484664207882E7,4699447.528483419,8684199.270584123,2.973806923754687E7
75.0,3.97730501873787E7,4112774.8649779046,5869440.126276072,3.098618663705396E7
76.0,3.049337916271478E7,6347203.796059513,6326360.875070447,5.527251050617689E7
77.0,3.0242824519196592E7,8416203.545053178,9135095.21455811,4.524174880716393E7
78.0,3.549622377326269E7,4544503.897707742,4156424.9118866874,1.4926266035526494E7
79.0,1.3926991975626852E7,1332012.2964841956,865986.5585109635,1241769.091225239
80.0,8065326.438550467,8905.727020263672,5227.431350708008,3194.4752883911133
81.0,44243.92330507762,33916.001763646746,23173.800037698187,125925.68398332792
82.0,388620.5667313816,290379.43200746394,102541.87256622314,235748.81719135953
83.0,42631.9105099547,5990.441513749665,4829.628723832673,573.2061621871649
84.0,1.537796317993424E7,165805.89509872705,962560.4539904123,522106.00305986556
85.0,4.4038685644372016E7,2164440.610718015,1.029203302728847E7,1.0043339932947863E7
86.0,4.34035269727152E7,3610968.4517530594,1.0832626512815328E7,1.974412264682951E7
87.0,4.927444550737376E7,6256188.42191953,1.4443554004499871E7,3.868447308916425E7
88.0,3.6947545260480456E7,5712892.848561909,1.1821582096182989E7,5.582609896633684E7
